date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:25:04	6289/6289	---M--	200	added ('OK')	image/png	etag:%22659559ce-1891%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home1/section-vector1.png	demo.egenslab.com/html/triprex/preview/assets/img/home1/section-vector1.png	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:25:05	8356/8356	---M--	200	added ('OK')	image/png	etag:%22659559d1-20a4%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home1/section-vector2.png	demo.egenslab.com/html/triprex/preview/assets/img/home1/section-vector2.png	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:25:06	23785/23785	---M--	200	added ('OK')	image/jpeg	etag:%2265955a0e-5ce9%22	https://demo.egenslab.com/html/triprex/preview/assets/img/innerpage/location-gallery-bg1.jpg	demo.egenslab.com/html/triprex/preview/assets/img/innerpage/location-gallery-bg1.jpg	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:25:08	310887/310887	---M--	200	added ('OK')	image/jpeg	etag:%2265955a37-4be67%22	https://demo.egenslab.com/html/triprex/preview/assets/img/innerpage/gallery-01.jpg	demo.egenslab.com/html/triprex/preview/assets/img/innerpage/gallery-01.jpg	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:25:08	96619/96619	---M--	200	added ('OK')	image/jpeg	etag:%2265955a3d-1796b%22	https://demo.egenslab.com/html/triprex/preview/assets/img/innerpage/gallery-02.jpg	demo.egenslab.com/html/triprex/preview/assets/img/innerpage/gallery-02.jpg	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:25:09	83562/83562	---M--	200	added ('OK')	image/jpeg	etag:%2265955a41-1466a%22	https://demo.egenslab.com/html/triprex/preview/assets/img/innerpage/gallery-03.jpg	demo.egenslab.com/html/triprex/preview/assets/img/innerpage/gallery-03.jpg	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:25:11	134309/134309	---M--	200	added ('OK')	image/jpeg	etag:%2265955a2e-20ca5%22	https://demo.egenslab.com/html/triprex/preview/assets/img/innerpage/gallery-04.jpg	demo.egenslab.com/html/triprex/preview/assets/img/innerpage/gallery-04.jpg	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:25:11	31522/31522	---M--	200	added ('OK')	image/jpeg	etag:%2265955a21-7b22%22	https://demo.egenslab.com/html/triprex/preview/assets/img/innerpage/destination-img-01.jpg	demo.egenslab.com/html/triprex/preview/assets/img/innerpage/destination-img-01.jpg	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:25:13	134070/134070	---M--	200	added ('OK')	image/png	etag:%22659559fb-20bb6%22	https://demo.egenslab.com/html/triprex/preview/assets/img/innerpage/error-bg.png	demo.egenslab.com/html/triprex/preview/assets/img/innerpage/error-bg.png	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:25:13	1185/1185	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265955a33-4a1%22	https://demo.egenslab.com/html/triprex/preview/assets/img/innerpage/checkbox-check.svg	demo.egenslab.com/html/triprex/preview/assets/img/innerpage/checkbox-check.svg	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
